company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,broad_sector,company_name,peer_group_name,is_benchmark,peer_score_roe,peer_score_margin,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
HINDUNILVR,Mar 2020,16.982128044642185,75.21303069150139,82.09989063069632,0.0,70.57075471698113,1.974048528755024,9414.0,4.501922931905588,31.0,216.0,80.0,0.0,7623.0,4.468544770055073,9.074307784278867,9.160706958928856,1.1283303730017762,Consumer Staples,"Hindustan Unilever Ltd
",FMCG,1.0,90.10989010989012,80.95238095238095,96.7032967032967,94.5054945054945,90.51689051689054,91.0
ITC,Mar 2024,29.282025230717128,37.0177518132814,27.851074395694365,0.004066731984914169,327.9125,0.7723477995509732,18742.0,2.205571077808822,16.0,60.0,84.0,303.0,17179.0,7.9508968462544285,10.083407558317957,9.856054330611784,0.8278637174112091,Consumer Staples,"ITC Ltd
",FMCG,0.0,57.14285714285714,98.80952380952381,89.01098901098901,100.0,83.00773300773302,91.0
NESTLEIND,Mar 2024,16.12281708616873,23.829630236943512,117.75449101796407,0.10329341317365268,40.089655172413785,2.3181602204694483,2938.0,5.070919078461917,41.0,41.0,79.0,345.0,4175.0,14.548573711802671,14.852319512993839,15.43852585822143,1.0615306381896772,Consumer Staples,Nestle India Ltd,FMCG,0.0,97.8021978021978,71.42857142857143,51.64835164835164,72.52747252747253,76.06837606837607,91.0
DABUR,Mar 2019,16.981796829125074,20.434527304756312,25.67471590909091,0.12411221590909093,29.0,1.0092449922958395,1837.0,3.969465648854962,8.0,59.0,34.0,699.0,1499.0,3.8246796218349033,9.560640840459557,9.856054330611784,1.0366528354080222,Consumer Staples,Dabur India Ltd,FMCG,0.0,52.74725274725275,79.76190476190477,43.956043956043956,62.637362637362635,58.99470899470901,91.0
GODREJCP,Mar 2019,22.70700019391119,20.67093271281753,32.22787945507087,0.4653914958029448,8.95798319327731,0.7318007662835249,2003.0,2.6565832848555364,23.0,119.0,44.0,3382.0,1729.0,6.300213432374567,23.384497809507977,26.86036575783795,0.7382578992314262,Consumer Staples,Godrej Consumer Products Ltd,FMCG,0.0,65.93406593406593,85.71428571428571,15.384615384615385,64.83516483516483,58.852258852258856,91.0
BRITANNIA,Mar 2021,14.091047503045068,19.10018270401949,52.17023675310035,0.5980834272829764,22.603603603603602,1.642,2309.0,3.2962850182704018,77.0,133.0,204.0,2122.0,1876.0,9.362340796469915,17.54130118103776,17.761237717688786,1.0135062128579146,Consumer Staples,Britannia Industries Ltd,FMCG,0.0,80.21978021978022,48.80952380952381,9.890109890109889,68.13186813186813,54.92470492470493,91.0
TATACONSUM,Mar 2023,9.577015163607342,13.465863745193355,8.109602506604412,0.09829821220126557,14.276923076923078,0.6055267551181794,627.0,6.0509323079155495,12.0,193.0,65.0,1600.0,1461.0,15.126573553688296,18.87754506830248,8.447177119769853,1.1068181818181821,Consumer Staples,Tata Consumer Products Ltd,FMCG,0.0,19.78021978021978,20.238095238095237,53.84615384615385,43.956043956043956,32.824582824582826,91.0
